title,tomatometer,reviewCount
Middle School: The Worst Years of My Life,63%,43
Miniforce: New Heroes Rise,N/A,N/A
Miracle,80%,163
Monkey Up,N/A,N/A
Monster Family,10%,21
"Monster High: Boo York, Boo York",N/A,N/A
Monster High: Escape from Skull Shores,N/A,N/A
Monster High: Freaky Fusion,N/A,N/A
Monster High: Friday Night Frights,N/A,N/A
Monster High: Fright On!,N/A,N/A
Monster High: Great Scarrier Reef,N/A,N/A
Monster High: Haunted,N/A,N/A
Monster High: New Ghoul at School,N/A,N/A
"Monster High: Scaris, City of Frights",N/A,N/A
Monster High: Why Do Ghouls Fall in Love?,N/A,N/A
Monster House,75%,161
Monster Island,N/A,N/A
Motu Patlu: King of Kings,N/A,N/A
Mune: Guardian of the Moon,80%,5
My Babysitter's a Vampire: The Movie,N/A,N/A
My Little Pony Equestria Girls: Legend of Everfree,N/A,N/A
My Little Pony Equestria Girls: Rainbow Rocks,N/A,N/A
My Little Pony Equestria Girls: Friendship Games,N/A,N/A
My Little Pony Equestria Girls: Rollercoaster of Friendship,N/A,N/A
My Little Pony Equestria Girls: Forgotten Friendship,N/A,N/A
My Little Pony Friendship Is Magic: Best Gift Ever,N/A,N/A
Next Gen,80%,5
Norm of the North: Keys to the Kingdom,N/A,N/A
Norm of the North: King Sized Adventure,N/A,N/A
NOVA: Bird Brain,N/A,N/A
Open Season,48%,101
Pachamama,N/A,N/A
Pants on Fire,N/A,N/A
Pee-wee's Big Holiday,80%,46
Penelope,N/A,N/A
Peter Rabbit,N/A,N/A
Pettersson and Findus 2,N/A,N/A
Planet 51,22%,108
Power Rangers Samurai: Clash of the Red Rangers,N/A,N/A
Prince of Peoria: A Christmas Moose Miracle,N/A,N/A
Pup Star,N/A,N/A
Pup Star: Better 2Gether,N/A,N/A
Pup Star: World Tour,N/A,N/A
Puppy Star Christmas,N/A,N/A
Puss in Book: Trapped in an Epic Tale,N/A,N/A
R.L. Stine's Mostly Ghostly,N/A,N/A
Race to Witch Mountain,42%,153
Radio Rebel,N/A,N/A
Raising the Bar,N/A,N/A
Ralph Breaks the Internet: Wreck-It Ralph 2,88%,265
Rip Tide,N/A,N/A
Rocko's Modern Life: Static Cling,91%,22
Room on the Broom,N/A,N/A
Rugrats in Paris: The Movie,N/A,N/A
Russell Madness,N/A,N/A
Sahara,N/A,N/A
Samudri Lootere,N/A,N/A
Santa Claws,N/A,N/A
Santa Girl,N/A,N/A
Santa's Apprentice,80%,10
Scooby-Doo on Zombie Island,86%,7
Shorts,46%,101
Shrek the Musical,N/A,N/A
Silent,N/A,N/A
Spirit Riding Free: Spirit of Christmas,N/A,N/A
Spookley the Square Pumpkin,N/A,N/A
Spy Kids,93%,127
Spy Kids 2: The Island of Lost Dreams,N/A,N/A
Spy Kids 3: Game Over,45%,143
Spy Kids: All the Time in the World,N/A,N/A
Stretch Armstrong: The Breakout,N/A,N/A
Super Bheem Bana Vajraveer,N/A,N/A
Super Monsters and the Wish Star,N/A,N/A
Super Monsters Back to School,N/A,N/A
Super Monsters Furever Friends,N/A,N/A
